sentences	gold	predict	probability
('”大伙哄堂大笑，笑声差点没把屋顶给震掀了。', '”大伙哄堂大笑，笑声差点把屋顶给震掀了。')	1	1	[4.8999722e-05, 0.999951]
('又是道圣旨……瓶底儿记得，似乎为了保住佐罗这点油儿，差点没把他给折腾死了。', '又是道圣旨……瓶底儿记得，似乎为了保住佐罗这点油儿，差点把他给折腾死了。')	1	1	[4.5876594e-05, 0.9999541]
('方枪枪缩肩拱背站在路边期待着，30秒之后，背上重重挨了一掌，身体往前一扑，差点没把心脏呕出口。', '方枪枪缩肩拱背站在路边期待着，30秒之后，背上重重挨了一掌，身体往前一扑，差点把心脏呕出口。')	1	1	[4.4047196e-05, 0.9999559]
('当卫生部领导知道这事后，心疼地说：“在英国三个月，差一点没把你饿死啊！', '当卫生部领导知道这事后，心疼地说：“在英国三个月，差一点把你饿死啊！')	1	1	[4.872629e-05, 0.99995124]
('她母亲一天比一天更加发疯似地爱她，抚摸她，亲吻她，咯吱她，给她洗澡，把她打扮得花里花俏，差点没把她吞吃下去！', '她母亲一天比一天更加发疯似地爱她，抚摸她，亲吻她，咯吱她，给她洗澡，把她打扮得花里花俏，差点把她吞吃下去！')	1	1	[4.851542e-05, 0.9999515]
('就这样我还吃了七八十个呢，差点没把我撑死，馋啊，那几年就没吃过熟的东西，馋坏了。', '就这样我还吃了七八十个呢，差点把我撑死，馋啊，那几年就没吃过熟的东西，馋坏了。')	1	1	[4.739197e-05, 0.99995255]
('紧接着，他们全都跑来跑去采摘鲜花，笑着把花朵扔到我身上，差点没把我淹没在花堆里。', '紧接着，他们全都跑来跑去采摘鲜花，笑着把花朵扔到我身上，差点把我淹没在花堆里。')	1	1	[7.678296e-05, 0.9999232]
('李晓金为此支付“ｌ·２·３公司”咨询服务费五万元——付从之差点没被气晕过去，于是从此便断了交。', '李晓金为此支付“ｌ·２·３公司”咨询服务费五万元——付从之差点被气晕过去，于是从此便断了交。')	1	1	[4.7006328e-05, 0.99995303]
('”柴造烈低头一看，他差一点没有晕了过去，他穿在脚上的软泥鞋已经被削的不成样子，只要一动，鞋子立即分解开来。', '”柴造烈低头一看，他差一点晕了过去，他穿在脚上的软泥鞋已经被削的不成样子，只要一动，鞋子立即分解开来。')	1	1	[5.5704662e-05, 0.9999443]
('就连那卖麻花的人也看出神了，当那女人坐到泥坑中把泥花四边溅起来的时候，那卖麻花的差一点没把筐子掉了地下。', '就连那卖麻花的人也看出神了，当那女人坐到泥坑中把泥花四边溅起来的时候，那卖麻花的差一点把筐子掉了地下。')	1	1	[4.7363334e-05, 0.9999527]
('然而，当一双骨节粗大的手伸过来准备抱她出去，我一眼看清偏在我们上边的乃是滕德勒太太那生硬的面孔的时候，我又猛地抱住我的小朋友，差点儿没把那女人头上戴的意大利旧草帽给拽下来。', '然而，当一双骨节粗大的手伸过来准备抱她出去，我一眼看清偏在我们上边的乃是滕德勒太太那生硬的面孔的时候，我又猛地抱住我的小朋友，差点儿把那女人头上戴的意大利旧草帽给拽下来。')	1	1	[5.797113e-05, 0.99994206]
('都宾还寄来许多蜜饯、酸辣菜等等食品，这位小爷开了壁橱偷吃，差点儿没送了命。', '都宾还寄来许多蜜饯、酸辣菜等等食品，这位小爷开了壁橱偷吃，差点儿送了命。')	1	1	[9.9024415e-05, 0.99990094]
('当时，负责主持分房工作的人也差点没让她气得躺在地上翻白眼儿。', '当时，负责主持分房工作的人也差点让她气得躺在地上翻白眼儿。')	1	1	[5.108359e-05, 0.99994886]
('差一点没把你母亲急死！', '差一点把你母亲急死！')	1	1	[4.5318193e-05, 0.9999547]
('”斯佳丽咧地将门打开，差点没把蒙塔古撞倒。', '”斯佳丽咧地将门打开，差点把蒙塔古撞倒。')	1	1	[4.4442037e-05, 0.99995553]
('”崇祯差点没哭了：“刚才你不说要什么有什么吗?”“您问别的全有，唯独问江山没有。', '”崇祯差点哭了：“刚才你不说要什么有什么吗?”“您问别的全有，唯独问江山没有。')	1	1	[5.650634e-05, 0.9999435]
('”他说着，走到小谢尔顿跟前，坚定地凝视着他的眼睛，用双手握住了对方的两只手，用力地捏了一下，差一点没把血给捏出来。', '”他说着，走到小谢尔顿跟前，坚定地凝视着他的眼睛，用双手握住了对方的两只手，用力地捏了一下，差一点把血给捏出来。')	1	1	[4.8237052e-05, 0.9999517]
('“太棒了……”“我差点儿没死掉。', '“太棒了……”“我差点儿死掉。')	1	1	[5.3004263e-05, 0.99994695]
('济民这一气非同小可，差点没送了半条命。', '济民这一气非同小可，差点送了半条命。')	1	1	[9.810314e-05, 0.9999019]
('他接着说：“后来，她坐在门槛上睡着了，屋子里冷得要命，我拉她拉不动，差点没把我们冻死……“今天早晨，我说：‘你醉得真厉害！', '他接着说：“后来，她坐在门槛上睡着了，屋子里冷得要命，我拉她拉不动，差点把我们冻死……“今天早晨，我说：‘你醉得真厉害！')	1	1	[4.7819853e-05, 0.9999522]
('”政成差点没让鱼骨头噎着，“战死？', '”政成差点让鱼骨头噎着，“战死？')	1	1	[5.047346e-05, 0.9999496]
('”“再别提你这书，差点没叫它要了我的命！', '”“再别提你这书，差点叫它要了我的命！')	1	1	[0.00010599458, 0.999894]
('周六下午，刘星回来得特别早。他一进门，刘梅差点儿没敢认。 ', '周六下午，刘星回来得特别早。他一进门，刘梅差点儿敢认。 ')	0	0	[0.9995146, 0.00048548038]
('"(记者单磊)中国男篮今天差点没能保住到手的胜利,最后以108:105的微弱优势险胜哈萨克斯坦"', '"(记者单磊)中国男篮今天差点能保住到手的胜利,最后以108:105的微弱优势险胜哈萨克斯坦"')	0	0	[0.999485, 0.0005149018]
('”鲍里斯等柳霞掩上了通向前屋的房门，说了一句，就坐进了木盆，差一点没把它掀翻。', '”鲍里斯等柳霞掩上了通向前屋的房门，说了一句，就坐进了木盆，差一点把它掀翻。')	1	1	[4.9295882e-05, 0.99995065]
('乔斯虽然已经给吓得够瞧的，不幸他命里注定，那天夜里还得担惊受怕，差点儿没把他吓糊涂了。', '乔斯虽然已经给吓得够瞧的，不幸他命里注定，那天夜里还得担惊受怕，差点儿把他吓糊涂了。')	1	1	[4.636886e-05, 0.9999536]
('差点没让我窒息！', '差点让我窒息！')	1	1	[5.1418872e-05, 0.9999486]
('“可怜的小吉奥运会夫过来保护我，他们差点没把他掐死！', '“可怜的小吉奥运会夫过来保护我，他们差点把他掐死！')	1	1	[4.6749054e-05, 0.99995327]
('一进帐，看见正孝正悠哉游哉地在吃茶泡饭就味甑，差点没把肺气炸了。', '一进帐，看见正孝正悠哉游哉地在吃茶泡饭就味甑，差点把肺气炸了。')	1	1	[4.3874647e-05, 0.99995613]
('“我差点没能为他们找到教师。', '“我差点能为他们找到教师。')	0	0	[0.9995153, 0.0004846534]
('”轻歌差点没气死，苍白如玉的脸色骤青，登即一掌向长生颊上扇去。', '”轻歌差点气死，苍白如玉的脸色骤青，登即一掌向长生颊上扇去。')	1	1	[6.4284344e-05, 0.99993575]
('她知道罗登上尉娶了利蓓加，差点儿没有气死。', '她知道罗登上尉娶了利蓓加，差点儿气死。')	1	1	[5.696688e-05, 0.999943]
('我在卧房里碰上这事后第三天，在街上碰到他，就跟他打招呼，差点没把他吓死。', '我在卧房里碰上这事后第三天，在街上碰到他，就跟他打招呼，差点把他吓死。')	1	1	[4.7623023e-05, 0.9999523]
('每天晚上他都出海打鱼，有一天晚上，收网的时候，网重得很，他差一点没能把网给拖上船来。', '每天晚上他都出海打鱼，有一天晚上，收网的时候，网重得很，他差一点能把网给拖上船来。')	0	0	[0.9995271, 0.00047289635]
('她象搀着老寿星似地搀着个香港老头儿，脸象电镀了容光焕发发给我介绍她的“阿伯”，对那个老狗说我是他“表哥”，差点没把我鼻子气歪了。', '她象搀着老寿星似地搀着个香港老头儿，脸象电镀了容光焕发发给我介绍她的“阿伯”，对那个老狗说我是他“表哥”，差点把我鼻子气歪了。')	1	1	[4.5625984e-05, 0.99995434]
('当我在外养病三年，回家以后，老伴曾向我说过：她有一次到报社去找邹明，看见他拿着刨子，从木工室出来，她差一点没有哭了。', '当我在外养病三年，回家以后，老伴曾向我说过：她有一次到报社去找邹明，看见他拿着刨子，从木工室出来，她差一点哭了。')	1	1	[6.0509923e-05, 0.99993944]
('”母亲对我喝道，“妈差点没给它们活活咬死，他倒象个没事人！', '”母亲对我喝道，“妈差点给它们活活咬死，他倒象个没事人！')	1	1	[4.664254e-05, 0.9999534]
('”差一点没把狗子分了尸。', '”差一点把狗子分了尸。')	1	1	[4.4980894e-05, 0.99995506]
('麦克默多擦去额上的冷汗，说道，“没有想到是你来，我亲爱的，我差点没把你扼死。', '麦克默多擦去额上的冷汗，说道，“没有想到是你来，我亲爱的，我差点把你扼死。')	1	1	[4.7842248e-05, 0.9999522]
('这件事在她心里所引起的，只是一种怜悯之情；这个顽皮的孩子只是为了讨她的欢心才想到上菜园子里去偷东西，而因为这个他差一点没把船误了。', '这件事在她心里所引起的，只是一种怜悯之情；这个顽皮的孩子只是为了讨她的欢心才想到上菜园子里去偷东西，而因为这个他差一点把船误了。')	1	1	[6.036348e-05, 0.9999397]
('萧天差点没晕死过去，天哪！', '萧天差点晕死过去，天哪！')	1	1	[4.9000424e-05, 0.999951]
('他心跳得很响，差点儿没震碎了胸膛。', '他心跳得很响，差点儿震碎了胸膛。')	1	1	[4.974285e-05, 0.9999503]
('”“本·刚恩，本·刚恩，”希尔弗喃喃地说，“你差一点没把我吓死！', '”“本·刚恩，本·刚恩，”希尔弗喃喃地说，“你差一点把我吓死！')	1	1	[4.9001497e-05, 0.999951]
('”丁婉卿忙站起来，埋怨地道：“老爷子你怎么到现在才来，差点没把我给急死了，英儿她昨夜回来还是好好的，今天早上就发烧了，初时还清醒能说话，这会儿神智都不清了，老爷子，你快给她瞧瞧……。', '”丁婉卿忙站起来，埋怨地道：“老爷子你怎么到现在才来，差点把我给急死了，英儿她昨夜回来还是好好的，今天早上就发烧了，初时还清醒能说话，这会儿神智都不清了，老爷子，你快给她瞧瞧……。')	1	1	[4.507214e-05, 0.99995494]
('我连忙跳进去，扯下灯笼上的毛巾，我的妈呀，我差点没被吓死。', '我连忙跳进去，扯下灯笼上的毛巾，我的妈呀，我差点被吓死。')	1	1	[5.1907995e-05, 0.99994814]
('突然，我的马仰头惊立，它听到一阵莫名其妙的声响，我好不容易才勒住惊马，差点儿没被摔到地上。', '突然，我的马仰头惊立，它听到一阵莫名其妙的声响，我好不容易才勒住惊马，差点儿被摔到地上。')	1	1	[4.893845e-05, 0.999951]
('她叹了一口气说：“然后，我又把那些土又重新填了回去，她的墓看起来就像没动过一样，差点没把我给累死。', '她叹了一口气说：“然后，我又把那些土又重新填了回去，她的墓看起来就像没动过一样，差点把我给累死。')	1	1	[4.717846e-05, 0.9999528]
('那个东西仍在他身子底下尖叫着，扭动着，翻滚着，差点没把路易斯掀到一边去。', '那个东西仍在他身子底下尖叫着，扭动着，翻滚着，差点把路易斯掀到一边去。')	1	1	[5.6177145e-05, 0.99994385]
('这一百英里我差点没把我的头都说掉了。', '这一百英里我差点把我的头都说掉了。')	1	1	[8.575522e-05, 0.9999143]
('我看了一眼这个东西，差点没叫我窘死，然后走到垃圾箱前，放下手，让那东西滑下去，可是滑不掉，黏住了。', '我看了一眼这个东西，差点叫我窘死，然后走到垃圾箱前，放下手，让那东西滑下去，可是滑不掉，黏住了。')	1	1	[4.7175807e-05, 0.9999528]
('”她的话差一点没让郭健捧腹大笑起来，苗莉莉也一直怔怔地拿眼盯着她，好像是在确认她精神是否正常。', '”她的话差一点让郭健捧腹大笑起来，苗莉莉也一直怔怔地拿眼盯着她，好像是在确认她精神是否正常。')	1	1	[5.0867362e-05, 0.9999491]
('”钟运来生气地大声说，“刚才差一点没让人家稀里糊涂地给拉到客房里去，我还高兴呢，我都快要气死了！', '”钟运来生气地大声说，“刚才差一点让人家稀里糊涂地给拉到客房里去，我还高兴呢，我都快要气死了！')	1	1	[8.5615415e-05, 0.9999144]
('当我骑上坦克列德飞驰的时候，她受到良心上的谴责，差点没被吓死。', '当我骑上坦克列德飞驰的时候，她受到良心上的谴责，差点被吓死。')	1	1	[5.1758816e-05, 0.99994826]
('李云龙差点儿没气疯了，这些混小子是在玩儿命呢，这么近的距离向砖墙连发射击，子弹在墙面上又弹回来，这种“跳弹”每一发都能制人于死命。', '李云龙差点儿气疯了，这些混小子是在玩儿命呢，这么近的距离向砖墙连发射击，子弹在墙面上又弹回来，这种“跳弹”每一发都能制人于死命。')	1	1	[5.7950347e-05, 0.99994206]
('我的心差点没把我的胸膛胀破！', '我的心差点把我的胸膛胀破！')	1	1	[4.5084395e-05, 0.99995494]
('我老婆生气了，警告我再赌就离婚，还告到老母亲那里，差点没把我70多岁的母亲给气病。', '我老婆生气了，警告我再赌就离婚，还告到老母亲那里，差点把我70多岁的母亲给气病。')	1	1	[5.3955948e-05, 0.999946]
('他差点没把自己的妈妈也给卖掉。', '他差点把自己的妈妈也给卖掉。')	1	1	[5.7903668e-05, 0.99994206]
('……”他一把抓住杜涅奇卡的手，差点儿没把她的手扭得脱臼，让她弯下腰去看看，“他已经醒过来了”。', '……”他一把抓住杜涅奇卡的手，差点儿把她的手扭得脱臼，让她弯下腰去看看，“他已经醒过来了”。')	1	1	[4.623926e-05, 0.99995375]
('”他猛地弓起背，差点儿没把我掀翻，我牢牢地抓住电线，使劲儿往后拉，我气极了，这个出卖我、欺骗我的狗杂种，他撒谎、行骗、杀人，他就在这儿，要是可能，他原本会把凯茜也杀悼。', '”他猛地弓起背，差点儿把我掀翻，我牢牢地抓住电线，使劲儿往后拉，我气极了，这个出卖我、欺骗我的狗杂种，他撒谎、行骗、杀人，他就在这儿，要是可能，他原本会把凯茜也杀悼。')	1	1	[4.708439e-05, 0.9999529]
('他不能出去工作，只能领取最小份额的食品配给，差点没死掉。', '他不能出去工作，只能领取最小份额的食品配给，差点死掉。')	1	1	[5.9274476e-05, 0.99994075]
('以后我本来又忘记了，可是当您站起来的时候，把这张钞票从右手放到左手里，差点儿没把它丢掉；于是我又立刻想起来了，因为这时候我又产生了那个想法，就是说，您想不让我知道，悄悄地把钱送给她。', '以后我本来又忘记了，可是当您站起来的时候，把这张钞票从右手放到左手里，差点儿把它丢掉；于是我又立刻想起来了，因为这时候我又产生了那个想法，就是说，您想不让我知道，悄悄地把钱送给她。')	1	1	[5.9712456e-05, 0.9999403]
('”黄绢现出极其不屑的神情，差点没向原振侠的脸上吐口水了！', '”黄绢现出极其不屑的神情，差点向原振侠的脸上吐口水了！')	1	1	[4.5768487e-05, 0.9999542]
('一想到差点没摔死，哈克不禁打了个冷颤，环顾这个虽暂时安全，实则危险的地方。', '一想到差点摔死，哈克不禁打了个冷颤，环顾这个虽暂时安全，实则危险的地方。')	1	1	[5.2515326e-05, 0.9999474]
('”罗桂香瞪着满是愤怒的眼睛说，“昨天这一夜我这脑袋又差一点没疼两半儿了。', '”罗桂香瞪着满是愤怒的眼睛说，“昨天这一夜我这脑袋又差一点疼两半儿了。')	1	1	[5.4831253e-05, 0.99994516]
('他们迷了路，好长时间就在田野上转来转去，走到了山谷里迫击炮手那儿，迫击炮手以为他们是走散的德国鬼子，差点没把他们全报销了。', '他们迷了路，好长时间就在田野上转来转去，走到了山谷里迫击炮手那儿，迫击炮手以为他们是走散的德国鬼子，差点把他们全报销了。')	1	1	[8.415743e-05, 0.99991584]
('他们那叫争论，不叫讨论，差点没把房子都给掀了。', '他们那叫争论，不叫讨论，差点把房子都给掀了。')	1	1	[4.940559e-05, 0.99995065]
('”“前天晚上，他到我家的天窗上向我做鬼脸，我以为是个男人，差点没把我吓死！', '”“前天晚上，他到我家的天窗上向我做鬼脸，我以为是个男人，差点把我吓死！')	1	1	[4.7330188e-05, 0.9999527]
('我当时决定再也不要理你，可是睡不着，往窗外一看，竟然……”“你拼命敲我的墙壁，那些羊儿啃了你的盆景，差点没把你气死。', '我当时决定再也不要理你，可是睡不着，往窗外一看，竟然……”“你拼命敲我的墙壁，那些羊儿啃了你的盆景，差点把你气死。')	1	1	[4.741399e-05, 0.99995255]
('」摩瑞局长差点没被老婆的这句玩笑话给逗得笑出声来，所幸他的行动电话此时震动了起来。', '」摩瑞局长差点被老婆的这句玩笑话给逗得笑出声来，所幸他的行动电话此时震动了起来。')	1	1	[5.1606126e-05, 0.9999484]
('不知为何，他也好一阵儿发呆，才问：“你怎么来了?”一句话差点没把我噎死。', '不知为何，他也好一阵儿发呆，才问：“你怎么来了?”一句话差点把我噎死。')	1	1	[4.6823385e-05, 0.99995315]
('’我差点没憋死，我不敢笑出来。', '’我差点憋死，我不敢笑出来。')	1	1	[5.4263128e-05, 0.99994576]
('”老人一说话，两鬓的白发便随之起伏着，眼睛眯成一条线，和满脸的皱纹都分不出来了，他看着女人有节奏地织毛衣的手继续说道：“那个痛劲就别提了，差点儿没疼死过去，真让人受不了啊。', '”老人一说话，两鬓的白发便随之起伏着，眼睛眯成一条线，和满脸的皱纹都分不出来了，他看着女人有节奏地织毛衣的手继续说道：“那个痛劲就别提了，差点儿疼死过去，真让人受不了啊。')	1	1	[5.1278086e-05, 0.99994874]
('贾德走上前，“砰”地一声关上抽屉，差点没把麦克锐佛的手指头夹住。', '贾德走上前，“砰”地一声关上抽屉，差点把麦克锐佛的手指头夹住。')	1	1	[6.241547e-05, 0.99993753]
('就学会领奖没学会挨骂的艺术家们回到招待所，差点没把那个剧务给吃了！', '就学会领奖没学会挨骂的艺术家们回到招待所，差点把那个剧务给吃了！')	1	1	[5.008456e-05, 0.99994993]
('”蓓蕾差点没当场晕死，她怎么想也想不到这个住在隔壁的男人，居然就是全国数一数二大财务公司里的大人物。', '”蓓蕾差点当场晕死，她怎么想也想不到这个住在隔壁的男人，居然就是全国数一数二大财务公司里的大人物。')	1	1	[5.038824e-05, 0.9999496]
('”马老先生拉过张椅子来，在小茶几前面坐下；把脊梁往后一仰的时候，差点儿没把电话机碰倒了。', '”马老先生拉过张椅子来，在小茶几前面坐下；把脊梁往后一仰的时候，差点儿把电话机碰倒了。')	1	1	[4.6035246e-05, 0.999954]
('差点没有把摆渡的累死，他来了去。', '差点把摆渡的累死，他来了去。')	1	1	[4.9516904e-05, 0.9999505]
('（团圆媳妇的婆婆，差一点没因为心内的激愤而流了眼泪。', '（团圆媳妇的婆婆，差一点因为心内的激愤而流了眼泪。')	1	1	[5.312288e-05, 0.99994683]
('四下亮成一片，耳中响着披头的音乐，差点没把自己吓坏了。', '四下亮成一片，耳中响着披头的音乐，差点把自己吓坏了。')	1	1	[5.0494928e-05, 0.99994946]
('群众拍手称快，高兴感激的百姓差点没把派出所门槛踩破。', '群众拍手称快，高兴感激的百姓差点把派出所门槛踩破。')	1	1	[4.835385e-05, 0.9999516]
('斑迦后腿直立，把前腿往主人肩上一搭，差点儿没把主人扑倒。', '斑迦后腿直立，把前腿往主人肩上一搭，差点儿把主人扑倒。')	1	1	[4.897795e-05, 0.999951]
('’还动手去拉门铃，差点儿没拉断了。', '’还动手去拉门铃，差点儿拉断了。')	1	1	[6.7767854e-05, 0.99993217]
('今天早上五点钟，德·巴日东先生差点儿没把德·尚杜先生打死。', '今天早上五点钟，德·巴日东先生差点儿把德·尚杜先生打死。')	1	1	[5.694792e-05, 0.999943]
('她父亲把被打得遍体鳞伤的女儿拉开，然后抓住那个畜生，差点没打死他。', '她父亲把被打得遍体鳞伤的女儿拉开，然后抓住那个畜生，差点打死他。')	1	1	[7.359892e-05, 0.99992645]
('刚刚真差点没吓死她了，在她从震惊之中回过神时，连忙比手画脚好牛天，幸好对方看得懂，也肯接受她的请求，要不，这下她装昏迷不醒的事就曝光了。', '刚刚真差点吓死她了，在她从震惊之中回过神时，连忙比手画脚好牛天，幸好对方看得懂，也肯接受她的请求，要不，这下她装昏迷不醒的事就曝光了。')	1	1	[5.1845658e-05, 0.99994814]
('连长点头，印证他的兵的话，说他们没说谎，真有那么大，前两天我们一个哨兵夜里站岗，被一只饿极了的老鼠袭击了，咬得血花啦的，差点儿没咬死。', '连长点头，印证他的兵的话，说他们没说谎，真有那么大，前两天我们一个哨兵夜里站岗，被一只饿极了的老鼠袭击了，咬得血花啦的，差点儿咬死。')	1	1	[6.358201e-05, 0.99993646]
('我差点没把他给吓死，我只能把我们兄弟小时候的事情都说出来，他才相信了我。', '我差点把他给吓死，我只能把我们兄弟小时候的事情都说出来，他才相信了我。')	1	1	[4.7480098e-05, 0.99995255]
('”广州市十六中初一某班女生小艾在饭桌上突然冒出这么一句，差点没把当医生的父母给噎住。', '”广州市十六中初一某班女生小艾在饭桌上突然冒出这么一句，差点把当医生的父母给噎住。')	1	1	[4.6212674e-05, 0.99995375]
('骑士又吻她的手，告别时更是难分难舍，差点没死过去。', '骑士又吻她的手，告别时更是难分难舍，差点死过去。')	1	1	[6.533573e-05, 0.9999347]
('－－我浑身一哆嗦，差点儿没把您的小姨娘艾尔莎白掉到地上；市长先生毛发倒竖，睡帽也给项了上去；他穿着自己的漂亮睡衣站在那儿，目瞪口呆，一声也不敢吭。', '－－我浑身一哆嗦，差点儿把您的小姨娘艾尔莎白掉到地上；市长先生毛发倒竖，睡帽也给项了上去；他穿着自己的漂亮睡衣站在那儿，目瞪口呆，一声也不敢吭。')	1	1	[4.65175e-05, 0.9999535]
('”凯蒂嘴里的酒差点没把她呛到。', '”凯蒂嘴里的酒差点把她呛到。')	1	1	[4.471215e-05, 0.9999553]
