sentences	gold	predict	probability
('每一户人家前院摆了酒席，陆续的有客人前来受邀请，好不热闹。至刚一路上已不知叹了多少气？', '每一户人家前院摆了酒席，陆续的有客人前来受邀请，好热闹。至刚一路上已不知叹了多少气？', '好不a')	1	1	[2.5626856e-05, 0.99997437]
('最让肖明难以容忍的是，有一次，他去外地学习回来，报销差旅费和学习用品时，正队长在填好的报销单上都签了字，可她就是找了一大堆理由，说啥也不给报销，把他气得鼻子差一点儿没歪到五台山去。', '最让肖明难以容忍的是，有一次，他去外地学习回来，报销差旅费和学习用品时，正队长在填好的报销单上都签了字，可她就是找了一大堆理由，说啥也不给报销，把他气得鼻子差一点儿歪到五台山去。', '差点没')	1	1	[2.566775e-05, 0.99997437]
('好不壮观，毛纯膝长，一望而知是批健走的神兽！', '好壮观，毛纯膝长，一望而知是批健走的神兽！', '好不a')	1	1	[2.6263626e-05, 0.9999738]
('她那么说着，一偏身，带着我从一辆奔驰的里道超越过去，差点儿没把那辆奔弛逼上护栏。', '她那么说着，一偏身，带着我从一辆奔驰的里道超越过去，差点儿把那辆奔弛逼上护栏。', '差点没')	1	1	[2.7372187e-05, 0.9999726]
('冯云亲在炎城过着逍遥自在的生活，城主宗政日曜是他最好的朋友，两人气味相投，把酒言欢，畅谈天下事，日子过得好不快活。', '冯云亲在炎城过着逍遥自在的生活，城主宗政日曜是他最好的朋友，两人气味相投，把酒言欢，畅谈天下事，日子过得好快活。', '好不a')	1	1	[2.7129981e-05, 0.9999728]
('”武帝笑的更苦：“只差点没咽了气，所以才来找你帮忙。', '”武帝笑的更苦：“只差点咽了气，所以才来找你帮忙。', '差点没')	1	1	[2.3820427e-05, 0.99997616]
('但听到大汉骂他白脸狼，顿时火了，当着美人儿的面你他妈的丢我的人，这影响太坏，看我不收拾一下你们两个龟儿子。', '但听到大汉骂他白脸狼，顿时火了，当着美人儿的面你他妈的丢我的人，这影响太坏，看我收拾一下你们两个龟儿子。', '看我不')	1	1	[5.6042572e-05, 0.999944]
('涓生，这一年来，我几乎没挨出痨病来。', '涓生，这一年来，我几乎挨出痨病来。', '几乎没')	0	0	[0.9993923, 0.00060771353]
('春节、“五一”的长假里，黄先生全家3口出动，好不自在。', '春节、“五一”的长假里，黄先生全家3口出动，好自在。', '好不a')	1	1	[2.986918e-05, 0.9999701]
('”面对着一个失去理智的人的攻击，谷月闪得好不狼狈。“你再不住手，休怪我不客气了。', '”面对着一个失去理智的人的攻击，谷月闪得好狼狈。“你再不住手，休怪我不客气了。', '好不a')	1	1	[2.5299187e-05, 0.9999747]
('”连雅萱逃离雷骥的掌控范围，话中有话，只差没加一句“喔！', '”连雅萱逃离雷骥的掌控范围，话中有话，只差加一句“喔！', '只差没')	1	1	[2.4420975e-05, 0.99997556]
('总那么炯炯逼人，像要将她看透似的；还有他的动作，老是向前倾，只差没抓住她；而他的声音，急切热情，说出的话，常常是不合常理的。', '总那么炯炯逼人，像要将她看透似的；还有他的动作，老是向前倾，只差抓住她；而他的声音，急切热情，说出的话，常常是不合常理的。', '只差没')	1	1	[2.5842477e-05, 0.99997413]
('最后，决心。决心就是一种坚持，开始的时候难免不顺利，可以从小做起，从小的兼职和暑期实习开始，有了前面的小经历就会有后面的大机会，要一直鼓励自己', '最后，决心。决心就是一种坚持，开始的时候难免顺利，可以从小做起，从小的兼职和暑期实习开始，有了前面的小经历就会有后面的大机会，要一直鼓励自己', '难免不')	0	0	[0.9998568, 0.00014318652]
('但是我觉得这儿不知怎么的变得不受我们的影响，对我们在这儿的所作所为也变得无动于衷了，它就像以往一样只是存在着，而我们就像在某座古老小山表面上的蚂蚁，在那儿来来往往，却几乎没留下我们存在的什么痕迹。', '但是我觉得这儿不知怎么的变得不受我们的影响，对我们在这儿的所作所为也变得无动于衷了，它就像以往一样只是存在着，而我们就像在某座古老小山表面上的蚂蚁，在那儿来来往往，却几乎留下我们存在的什么痕迹。', '几乎没')	0	0	[0.99993825, 6.1797175e-05]
('”张知事自然不会一赌气子上街去看看，于是躺在床上差点没瘾死过去。', '”张知事自然不会一赌气子上街去看看，于是躺在床上差点瘾死过去。', '差点没')	1	1	[2.5176081e-05, 0.99997485]
('“心情一直忧郁，”拉祖米欣接着说，“我们刚刚给他换了内衣，他差点儿没哭起来。', '“心情一直忧郁，”拉祖米欣接着说，“我们刚刚给他换了内衣，他差点儿哭起来。', '差点没')	1	1	[2.5028832e-05, 0.99997497]
('”符龙飞正暗自咋舌，忖道：“小天他们在中原，可真是有名，看这姓伊的如此巴结法，只差没跪下去三叩其头，高呼万岁。', '”符龙飞正暗自咋舌，忖道：“小天他们在中原，可真是有名，看这姓伊的如此巴结法，只差跪下去三叩其头，高呼万岁。', '只差没')	1	1	[2.41136e-05, 0.9999759]
('可见他听了李益的揣测以及史仲义的计划后，吓得灵魂只差没飞上天去，两条腿瑟瑟地直抖，牙齿格格地响，李益忍不住笑笑道：“夫子，有好几个人听了我的计划只有奶是最害怕的。', '可见他听了李益的揣测以及史仲义的计划后，吓得灵魂只差飞上天去，两条腿瑟瑟地直抖，牙齿格格地响，李益忍不住笑笑道：“夫子，有好几个人听了我的计划只有奶是最害怕的。', '只差没')	1	1	[2.4209083e-05, 0.9999758]
('”眼见四个人即将入座，而她却被抛在最后头，守静的俏脸窜伏过青一阵、红一阵，只差没提把刀子砍了那对奸夫淫妇。', '”眼见四个人即将入座，而她却被抛在最后头，守静的俏脸窜伏过青一阵、红一阵，只差提把刀子砍了那对奸夫淫妇。', '只差没')	1	1	[2.3555627e-05, 0.9999764]
('这里的一切大都是形式上的模仿，缺少内在机制的转变，这一件件“创举”难免不陷入“事与愿违”的窘况。', '这里的一切大都是形式上的模仿，缺少内在机制的转变，这一件件“创举”难免陷入“事与愿违”的窘况。', '难免不')	1	1	[3.2826e-05, 0.9999672]
('车轮滚滚，兴隆镇红红火火的运输业，让东风公司、一汽公司、柳州乘龙公司好不高兴，他们纷纷在兴隆镇设立了自己的维修服务站。', '车轮滚滚，兴隆镇红红火火的运输业，让东风公司、一汽公司、柳州乘龙公司好高兴，他们纷纷在兴隆镇设立了自己的维修服务站。', '好不a')	1	1	[0.0001441823, 0.99985576]
('“特”字做出好文章我们来到“药圣”李时珍的故乡蕲春县，举目望去，好不气派，山脚下、山坡上是一片连着一片的各种中药材基地，一眼望不到边。', '“特”字做出好文章我们来到“药圣”李时珍的故乡蕲春县，举目望去，好气派，山脚下、山坡上是一片连着一片的各种中药材基地，一眼望不到边。', '好不a')	1	1	[2.7492397e-05, 0.99997246]
('但，鬼哭神号，“呜呜呜”的女鬼哭叫声，此起彼落，他听来便毛发竖立了，好不易，才挨到东方发白。', '但，鬼哭神号，“呜呜呜”的女鬼哭叫声，此起彼落，他听来便毛发竖立了，好易，才挨到东方发白。', '好不a')	0	1	[0.0005717051, 0.9994282]
('竹笛戏羽第六章一大清早，佑羽居的众多仆佣在桂婶的指挥下进进出出好不忙碌，为的不就是昨儿个夜里不小心受寒的小姐，服侍段戏羽的丫鬟与桂婶在临睡前明明再三确定房内够温暖，门帘紧合，着实不解为何在大伙儿谨慎照顾下，她还会生病。', '竹笛戏羽第六章一大清早，佑羽居的众多仆佣在桂婶的指挥下进进出出好忙碌，为的不就是昨儿个夜里不小心受寒的小姐，服侍段戏羽的丫鬟与桂婶在临睡前明明再三确定房内够温暖，门帘紧合，着实不解为何在大伙儿谨慎照顾下，她还会生病。', '好不a')	1	1	[2.8181514e-05, 0.99997187]
('１月１９日，笔者在营口港粮食码头看到，这里车来车往，巨大的门吊将一车车玉米输送到轮船上，好不繁忙。', '１月１９日，笔者在营口港粮食码头看到，这里车来车往，巨大的门吊将一车车玉米输送到轮船上，好繁忙。', '好不a')	1	1	[2.6894639e-05, 0.99997306]
('１９６９年冬到１９７０年夏，我和她几乎没见面。大学不是关门就是停课。', '１９６９年冬到１９７０年夏，我和她几乎见面。大学不是关门就是停课。', '几乎没')	0	0	[0.9999287, 7.132897e-05]
('周六下午，刘星回来得特别早。他一进门，刘梅差点儿没敢认。 ', '周六下午，刘星回来得特别早。他一进门，刘梅差点儿敢认。 ', '差点没')	0	0	[0.9999324, 6.764584e-05]
('眨眼之间传出刺耳的金铁撞击声，令人们的耳膜如针刺穿，好不难受！立刻，就在一阵撞击声里，半空中的贝海涛身子怪异的浮现在空中，光景他竟虚空在上面出手缓慢的打起一路太极拳来了！', '眨眼之间传出刺耳的金铁撞击声，令人们的耳膜如针刺穿，好难受！立刻，就在一阵撞击声里，半空中的贝海涛身子怪异的浮现在空中，光景他竟虚空在上面出手缓慢的打起一路太极拳来了！', '好不a')	1	1	[2.6261421e-05, 0.9999738]
('差一点没有提起下一口气来。', '差一点提起下一口气来。', '差点没')	0	1	[3.2842403e-05, 0.9999671]
('头发因人种而异，黑种人的头发生下来便不必去原子烫，曲曲弯弯，好不漂亮，可惜人被歧视，祸延其发，黑朋友拼命想办法把它弄直，以便弄得跟白人一样的直，然后再像白人一样把它烫得曲曲弯弯。', '头发因人种而异，黑种人的头发生下来便不必去原子烫，曲曲弯弯，好漂亮，可惜人被歧视，祸延其发，黑朋友拼命想办法把它弄直，以便弄得跟白人一样的直，然后再像白人一样把它烫得曲曲弯弯。', '好不a')	1	1	[3.0003586e-05, 0.99996996]
('就是为这件事情，她才跟我翻脸，还在我的左手虎口上狠咬一口，差点没让我痛死。', '就是为这件事情，她才跟我翻脸，还在我的左手虎口上狠咬一口，差点让我痛死。', '差点没')	1	1	[2.524313e-05, 0.9999747]
('阿宝恶狠狠的瞪他，差点没一拳挥过去！', '阿宝恶狠狠的瞪他，差点一拳挥过去！', '差点没')	1	1	[2.8621038e-05, 0.9999714]
('“如果你一进门就被人莫名其妙的拉到床上，还被个死色狼摸来抱去，接着恶心巴啦的当你是一根狗骨头又舔又亲，这个时候不害怕，难不成还要自动躺着说──来吧，可能吗──我又不是白痴──”她咆喊地只差没跳脚。', '“如果你一进门就被人莫名其妙的拉到床上，还被个死色狼摸来抱去，接着恶心巴啦的当你是一根狗骨头又舔又亲，这个时候不害怕，难不成还要自动躺着说──来吧，可能吗──我又不是白痴──”她咆喊地只差跳脚。', '只差没')	1	1	[2.3727993e-05, 0.9999763]
('要抓活的，你小心别弄死她。', '要抓活的，你小心弄死她。', '小心别')	1	1	[2.782864e-05, 0.9999722]
('俱乐部全依赖他的脱衣舞表演来留住客人，他决定今天不表演，等候的观众若一发飙，不消十分钟，俱乐部可能会变成断垣残壁，为了避免这个景况的发生，吴永光千拜托万拜托，只差没跪下磕头，喊他一声“祖宗爷爷”了。', '俱乐部全依赖他的脱衣舞表演来留住客人，他决定今天不表演，等候的观众若一发飙，不消十分钟，俱乐部可能会变成断垣残壁，为了避免这个景况的发生，吴永光千拜托万拜托，只差跪下磕头，喊他一声“祖宗爷爷”了。', '只差没')	1	1	[2.3482018e-05, 0.9999765]
('”突然被他压倒在地的未央，头顶差点没因他们俩过度亲密的姿势而冒出烟来。', '”突然被他压倒在地的未央，头顶差点因他们俩过度亲密的姿势而冒出烟来。', '差点没')	1	1	[3.3645847e-05, 0.9999664]
('他的鼻尖持续磨蹭著丝帛般的后颈，象徵著典型猫科动物的举措，喉头只差没咕哝出清爽满意的呼噜声。', '他的鼻尖持续磨蹭著丝帛般的后颈，象徵著典型猫科动物的举措，喉头只差咕哝出清爽满意的呼噜声。', '只差没')	1	1	[2.5980264e-05, 0.999974]
('宇文浩立在板上，看得好不过瘾，他随意打量周遭一眼，这艘船看来又大又气派，最主要的是少了那一群不入流的家伙，看来这趟旅程不会太闷了。', '宇文浩立在板上，看得好过瘾，他随意打量周遭一眼，这艘船看来又大又气派，最主要的是少了那一群不入流的家伙，看来这趟旅程不会太闷了。', '好不a')	1	1	[3.998072e-05, 0.99996006]
('一踏进总经理阎国田的办公室，奖状、奖旗、奖杯就赫然在，好不耀眼：吉林省优秀企业家、四平市特等劳动模范、全国优秀厂长、全国质量管理先进工作者、全国创业之星……', '一踏进总经理阎国田的办公室，奖状、奖旗、奖杯就赫然在，好耀眼：吉林省优秀企业家、四平市特等劳动模范、全国优秀厂长、全国质量管理先进工作者、全国创业之星……', '好不a')	1	1	[2.954689e-05, 0.99997044]
('尽管他们在性格上和情绪上有差异，但是一旦报复动机形成，都会着手准备犯罪，因而难免不露出预备犯罪的痕迹。', '尽管他们在性格上和情绪上有差异，但是一旦报复动机形成，都会着手准备犯罪，因而难免露出预备犯罪的痕迹。', '难免不')	1	1	[3.9726197e-05, 0.9999603]
('”李存孝好不窘迫，道：“这个……我倒没听她说什么。', '”李存孝好窘迫，道：“这个……我倒没听她说什么。', '好不a')	1	1	[2.6663345e-05, 0.9999733]
('想当初菲利普放弃了对基督教的信仰，颇有如释重负之感。在此之前，他的一举一动都直接关系到不朽灵魂的安宁，决不敢稍有玩忽。在此之后，那种束缚他手脚的责任感被抛开了，他感到无牵无挂，好不自在。', '想当初菲利普放弃了对基督教的信仰，颇有如释重负之感。在此之前，他的一举一动都直接关系到不朽灵魂的安宁，决不敢稍有玩忽。在此之后，那种束缚他手脚的责任感被抛开了，他感到无牵无挂，好自在。', '好不a')	1	1	[0.00014281101, 0.9998572]
('”面对他的霸道，冷清夜只差没有晕过去；他竟然以为她期待的是婚礼！', '”面对他的霸道，冷清夜只差晕过去；他竟然以为她期待的是婚礼！', '只差没')	1	1	[2.3921546e-05, 0.99997604]
('你再骂一句我听听，看我不抽你这小狗日的。', '你再骂一句我听听，看我抽你这小狗日的。', '看我不')	1	1	[2.7530124e-05, 0.99997246]
('沃尔佐根漫不经心地迈着步子，嘴角噙着半带轻蔑的微笑，一只手几乎没碰着帽檐，走到库图佐夫面前。', '沃尔佐根漫不经心地迈着步子，嘴角噙着半带轻蔑的微笑，一只手几乎碰着帽檐，走到库图佐夫面前。', '几乎没')	1	1	[0.0007034151, 0.99929655]
('他立刻转过头，傻傻地听千千说话，几乎没听懂她说什么，只是着迷地看着她多变的表情，那一颦一笑都让他为之心动。', '他立刻转过头，傻傻地听千千说话，几乎听懂她说什么，只是着迷地看着她多变的表情，那一颦一笑都让他为之心动。', '几乎没')	0	0	[0.9999398, 6.02051e-05]
('”练完了颠球，陈忠和又让队员们将球高抛，练起了脚下停球，随后又是头球……队员们练得性起，大呼小叫好不热闹。随后，陈忠和又把队员分成两队隔网对峙，三次触球必须过网的规则不变，但只能用脚和头来完成。', '”练完了颠球，陈忠和又让队员们将球高抛，练起了脚下停球，随后又是头球……队员们练得性起，大呼小叫好热闹。随后，陈忠和又把队员分成两队隔网对峙，三次触球必须过网的规则不变，但只能用脚和头来完成。', '好不a')	1	1	[2.5723963e-05, 0.99997425]
('上身尸首滚到皇老吉身前转动，好不恶心，一脚怒踢开，皇老吉掩脸不欲去看，但感杀力已扑来。', '上身尸首滚到皇老吉身前转动，好恶心，一脚怒踢开，皇老吉掩脸不欲去看，但感杀力已扑来。', '好不a')	1	1	[2.7801714e-05, 0.9999722]
('”尹水月道：“嗨，我差一点没出手烧死那小子。', '”尹水月道：“嗨，我差一点出手烧死那小子。', '差点没')	1	1	[2.7712724e-05, 0.99997234]
('”红英手上的杯子差点没掉到地上，红英眼睛铜铃似的实在不敢相信自己的耳朵。', '”红英手上的杯子差点掉到地上，红英眼睛铜铃似的实在不敢相信自己的耳朵。', '差点没')	1	1	[2.536775e-05, 0.9999746]
('一个清清白白、纯洁无垢，莫名地委身于“青焰门”过了将近十年双性人生活，窝囊得只差点没飞进杜鹃窝的可怜女孩哪！', '一个清清白白、纯洁无垢，莫名地委身于“青焰门”过了将近十年双性人生活，窝囊得只差点飞进杜鹃窝的可怜女孩哪！', '差点没')	1	1	[2.4738752e-05, 0.9999752]
('目前已有250多户农民在这条“农民街”上开店经商，市面好不热闹。泉州市鲤城区马', '目前已有250多户农民在这条“农民街”上开店经商，市面好热闹。泉州市鲤城区马', '好不a')	1	1	[2.5703388e-05, 0.99997425]
('出租车司机钻到车底下左看右看好不心痛，望着一溜烟而去的“是非车”，出租车司机只有自认倒霉。', '出租车司机钻到车底下左看右看好心痛，望着一溜烟而去的“是非车”，出租车司机只有自认倒霉。', '好不a')	1	1	[3.8419894e-05, 0.9999616]
('他自己也清楚，这车在伦敦简直是个可笑的机器，除了二档，几乎没换过档，根本就是广告人的玩具。', '他自己也清楚，这车在伦敦简直是个可笑的机器，除了二档，几乎换过档，根本就是广告人的玩具。', '几乎没')	0	0	[0.99993896, 6.0996343e-05]
('直着眼看了一会儿，先把凤魁拉起来，又把那五扶起来。把两人都叫进屋，才问怎么档子事。那五说：“我差点没死在外头，好容易挣命奔回来，我知道是怎么档子事?”', '直着眼看了一会儿，先把凤魁拉起来，又把那五扶起来。把两人都叫进屋，才问怎么档子事。那五说：“我差点死在外头，好容易挣命奔回来，我知道是怎么档子事?”', '差点没')	1	1	[2.8204257e-05, 0.99997175]
('总结中，同学们你一言我一语，好不畅快：“这节课真过瘾。', '总结中，同学们你一言我一语，好畅快：“这节课真过瘾。', '好不a')	1	1	[2.701888e-05, 0.99997294]
('”“阿方，不要去，以前阿彪每次回来，都说什么险过剃头，又说差点没有命回来见我；而且，他们也不会付三千元给你，阿彪每个月虽然带五百元回来，但过不了十天八天，他又来向我要钱。', '”“阿方，不要去，以前阿彪每次回来，都说什么险过剃头，又说差点命回来见我；而且，他们也不会付三千元给你，阿彪每个月虽然带五百元回来，但过不了十天八天，他又来向我要钱。', '差点没')	0	0	[0.99979717, 0.00020285713]
('“高寒，你好瘦呵！你不要为我担心，你看我不]是一天比一天好吗？”', '“高寒，你好瘦呵！你不要为我担心，你看我]是一天比一天好吗？”', '看我不')	1	1	[5.9239774e-05, 0.99994075]
('”赫连锤一经提醒刚才与“醉花娘子”苏玉琪的那段旖旎时光，立刻心乱如麻，只差没大哭出声。', '”赫连锤一经提醒刚才与“醉花娘子”苏玉琪的那段旖旎时光，立刻心乱如麻，只差大哭出声。', '只差没')	1	1	[2.4083103e-05, 0.9999759]
('德夫林受纳粹德国反间谍机关的派遣空降到爱尔兰，险些没回到柏林。', '德夫林受纳粹德国反间谍机关的派遣空降到爱尔兰，险些回到柏林。', '险些没')	0	0	[0.9285355, 0.071464464]
('”白剑感叹一声，道：“翠姑娘，你这声二公子，叫得在下好不难过，还是请你改口吧。', '”白剑感叹一声，道：“翠姑娘，你这声二公子，叫得在下好难过，还是请你改口吧。', '好不a')	1	1	[2.5667114e-05, 0.99997437]
('皮包一提，她跳了下去．差点没从扶手上滑坐下来。', '皮包一提，她跳了下去．差点从扶手上滑坐下来。', '差点没')	1	1	[2.8852439e-05, 0.99997115]
('玉英拿着两万元酬金走了，徐伯贤把吴老板留在客厅里，抖动着刚才差点儿没撒掉的那份合同说∶“吴老板，这个项目，缓办！”', '玉英拿着两万元酬金走了，徐伯贤把吴老板留在客厅里，抖动着刚才差点儿撒掉的那份合同说∶“吴老板，这个项目，缓办！”', '差点没')	1	1	[2.7570639e-05, 0.99997246]
('＂＂你竟然跟我提这个，＂夏子康忍不住发难，＂你帮我找了四个秘书，前三个是她们受不了跑的，第四个……她是个花痴，原谅我的激烈形容，不过她真的是花痴，成天不办公，打扮得花枝招展的在我面前晃来晃去，她只差没在我面前把衣服脱光，挂在我身上。', '＂＂你竟然跟我提这个，＂夏子康忍不住发难，＂你帮我找了四个秘书，前三个是她们受不了跑的，第四个……她是个花痴，原谅我的激烈形容，不过她真的是花痴，成天不办公，打扮得花枝招展的在我面前晃来晃去，她只差在我面前把衣服脱光，挂在我身上。', '只差没')	1	1	[2.3854798e-05, 0.99997616]
('左方有福、禄、寿三星在舞狮助庆，气氛热烈，右方四大金刚也在拍掌欢呼，好不热闹。路上尽是清一色男子汉在排队等待，足有一、二百人，大家踏在浮云上议论纷纷，异常兴奋。', '左方有福、禄、寿三星在舞狮助庆，气氛热烈，右方四大金刚也在拍掌欢呼，好热闹。路上尽是清一色男子汉在排队等待，足有一、二百人，大家踏在浮云上议论纷纷，异常兴奋。', '好不a')	1	1	[2.6452524e-05, 0.99997354]
('迈克西姆对英格兰所知甚少，除了曼陀丽周围一带的乡间，他几乎没到别处去过，这真令我惊讶不已——他对国外的许多地方则如数家珍。', '迈克西姆对英格兰所知甚少，除了曼陀丽周围一带的乡间，他几乎到别处去过，这真令我惊讶不已——他对国外的许多地方则如数家珍。', '几乎没')	0	0	[0.9999367, 6.3296706e-05]
('赖子好不委屈，将一双绝望的眼睛干巴巴地投向凶神恶煞的年轻长官，盼望他能收回圣旨。', '赖子好委屈，将一双绝望的眼睛干巴巴地投向凶神恶煞的年轻长官，盼望他能收回圣旨。', '好不a')	1	1	[2.924531e-05, 0.9999708]
('我们大家真是欢欣鼓舞，只差没有奔走相告了。', '我们大家真是欢欣鼓舞，只差奔走相告了。', '只差没')	1	1	[2.4055329e-05, 0.9999759]
('”长长绵绵的稚声随着小不隆咚身影的扑来，当下化了孙琳琳一身不驯的尖刺，害她差点没被撞得内伤。', '”长长绵绵的稚声随着小不隆咚身影的扑来，当下化了孙琳琳一身不驯的尖刺，害她差点被撞得内伤。', '差点没')	1	1	[2.552393e-05, 0.9999745]
('他慢慢把我引到深水，我却差一点没喝了水，赶紧退了回来。', '他慢慢把我引到深水，我却差一点喝了水，赶紧退了回来。', '差点没')	1	1	[0.00032852252, 0.99967146]
('陈北燕我几乎没认出来，看到一个胖胖的有两个大脸蛋的小姑娘坐在椅子上朝方枪枪笑，...', '陈北燕我几乎认出来，看到一个胖胖的有两个大脸蛋的小姑娘坐在椅子上朝方枪枪笑，...', '几乎没')	0	0	[0.9999354, 6.456141e-05]
('”通常小姐卯时便会醒来，今天不知怎么的，竟连个动静也没有，原本早想叫醒她，后来心中念及反正也没什么事，何不让小姐多睡会儿，所以又拖了近半个时辰才进内室来看看她，却没想到一碰到小姐的身子，却冷得像冰一般，差点没把她的三魂七魄给吓散。', '”通常小姐卯时便会醒来，今天不知怎么的，竟连个动静也没有，原本早想叫醒她，后来心中念及反正也没什么事，何不让小姐多睡会儿，所以又拖了近半个时辰才进内室来看看她，却没想到一碰到小姐的身子，却冷得像冰一般，差点把她的三魂七魄给吓散。', '差点没')	1	1	[2.5049607e-05, 0.99997497]
('别人看我不起——那真活该活该！', '别人看我起——那真活该活该！', '看我不')	0	0	[0.999933, 6.703073e-05]
('妇哭曰：“我的天，只为几分银子，累你跑到东又跑到西，好不苦呀！', '妇哭曰：“我的天，只为几分银子，累你跑到东又跑到西，好苦呀！', '好不a')	1	1	[2.727112e-05, 0.9999727]
('“他叫丁皓，少年时代他曾是杀人入狱七年；他的保全公司员工全是流氓出身、服刑出来的人；他住的地方在凌月巷；他的屋子比猪窝还不如；他长相凶恶，我第一眼见到他差点没吓晕，他全身甚至没有一块完整的皮肤；刀痕、伤痕满布。', '“他叫丁皓，少年时代他曾是杀人入狱七年；他的保全公司员工全是流氓出身、服刑出来的人；他住的地方在凌月巷；他的屋子比猪窝还不如；他长相凶恶，我第一眼见到他差点吓晕，他全身甚至没有一块完整的皮肤；刀痕、伤痕满布。', '差点没')	1	1	[2.6205606e-05, 0.9999738]
('一直想表现得自己很了解你，因而常常有意无意逼你接受我做你的聆听者，只差没有把“你有甚么烦恼便要说出来”这句话讲出口，但我偷看你的一眼，我还是知道你一定察觉到了，更即时感到我的压逼感。', '一直想表现得自己很了解你，因而常常有意无意逼你接受我做你的聆听者，只差把“你有甚么烦恼便要说出来”这句话讲出口，但我偷看你的一眼，我还是知道你一定察觉到了，更即时感到我的压逼感。', '只差没')	1	1	[2.418723e-05, 0.9999758]
('在圣殿老街和新街之间，坐落着圣殿教堂，屹立在一道筑有雉堞的宽阔围墙中间，一簇塔楼高耸，形单影只，好不凄凉。', '在圣殿老街和新街之间，坐落着圣殿教堂，屹立在一道筑有雉堞的宽阔围墙中间，一簇塔楼高耸，形单影只，好凄凉。', '好不a')	1	1	[2.7138442e-05, 0.9999728]
('"近来,美国的“后院”一波未平,一波又起。这难免不让“世界警察”不感到尴尬。"', '"近来,美国的“后院”一波未平,一波又起。这难免让“世界警察”不感到尴尬。"', '难免不')	0	1	[4.3897413e-05, 0.99995613]
